('house_example2', 'random', 'LASSO', 'SalePrice', None, 'ZS -> IQR -> LASSO', 'MSE', ({'quality_metric': 652925695.5192099}, 0.735849142074585))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'DS -> Tree -> OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.15477490425109863))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 81.37630891799927)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 24.752431869506836)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.184468984603882)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'ZS -> Tree -> ED -> LASSO', 'MSE', ({'quality_metric': 45161978651.49645}, 0.41475701332092285))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'Tree -> LOF -> ED -> OLS', 'MSE', ({'quality_metric': 6410639927.006683}, 0.4027421474456787))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 6.593559741973877))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.34458279609680176))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.03378486633300781))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 7.030924081802368))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 110.47537302970886))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.12055206298828125))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.08027195930480957))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 165.02495908737183)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 38.80754590034485)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 6.903201103210449)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'ZS -> IQR -> ED -> LASSO', 'MSE', ({'quality_metric': 652925695.5192099}, 0.874671220779419))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'ZS -> LC -> IQR -> OLS', 'MSE', ({'quality_metric': 5747639081.747915}, 0.415496826171875))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'ZS -> Tree -> ZSB -> MARS', 'MSE', ({'quality_metric': 0.1278545950741485}, 9.311134099960327))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.5816190242767334))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.04685688018798828))
